"","liveness","danceability","energy","key","loudness","mode","ArtistName","speechiness","acousticness","instrumentalness","valence","tempo","duration_ms","DateIndex","time_signature","MaxPosition","Track.Name","minPosition","lCountOnCharts","TrackPopularity","CountOnCharts","lSumChartStreams","ldurationms"
"901",0.0812,0.462,0.474,8,-5.938,1,"Michael BublÈ",0.0472,0.643,0,0.392,123.648,149453,225,4,189,"Winter Wonderland - Bonus Track",189,0,72,1,12.6768634648605,11.9147372411138
"906",0.0713,0.818,0.591,9,-6.322,1,"Shawn Mendes",0.0614,0.212,0,0.734,116.948,199187,501,4,185,"Honest",185,0,65,1,12.6815829601154,12.2019993609589
"907",0.0789,0.509,0.637,4,-4.83,0,"Rihanna",0.0471,0.0717,1.08e-05,0.385,172.006,224000,272,3,200,"Love On The Brain",139,2.39789527279837,68,11,14.9004622980927,12.3194013308372
"908",0.102,0.636,0.633,4,-4.23,1,"Hailee Steinfeld",0.126,0.371,0,0.527,99.721,181880,433,4,193,"Starving",171,1.09861228866811,29,3,13.7351006162019,12.1111024079389
"909",0.314,0.7,0.693,2,-6.553,1,"Meek Mill",0.14,0.00375,0,0.513,133.981,210472,539,4,195,"Froze (feat. Lil Uzi Vert & Nicki Minaj)",184,1.38629436111989,77,4,14.0286643776491,12.25710790663
"910",0.18,0.506,0.378,9,-9.258,1,"ABBA",0.0288,0.822,0,0.275,132.659,263800,231,4,175,"Happy New Year",175,0,62,1,12.6819123367886,12.4829465192654
"911",0.123,0.752,0.627,1,-8.242,1,"LISTENBEE",0.0308,0.0165,0.000113,0.686,122.003,210707,80,4,187,"Save Me",111,3.8286413964891,68,46,16.2193050325688,12.2582238218318
"912",0.136,0.927,0.343,0,-9.371,0,"YG",0.547,0.0411,0,0.391,93.018,196600,477,4,200,"Why You Always Hatin?",182,3.61091791264422,77,37,16.20648511961,12.1889264866952
"913",0.218,0.501,0.9,11,-4.366,1,"Hunter Hayes",0.0433,0.0586,0,0.944,160.096,194480,33,4,198,"21",104,3.95124371858143,53,52,16.2916329051572,12.17808460899
"914",0.0563,0.508,0.72,11,-5.908,0,"BeyoncÈ",0.0628,0.272,0,0.476,79.983,261640,299,4,200,"Halo",133,3.04452243772342,77,21,15.5442879830047,12.4747247920751
"915",0.0874,0.703,0.805,9,-1.875,0,"Destiny's Child",0.178,0.0599,0,0.616,99.782,209360,225,4,184,"8 Days of Christmas",184,0,64,1,12.6833187347329,12.251810537204
"916",0.103,0.847,0.882,11,-4.536,0,"Hilary Duff",0.0551,0.0416,0.000201,0.819,122.013,185947,47,4,173,"Sparks",107,2.83321334405622,52,17,15.1978752078733,12.1332169658539
"917",0.387,0.732,0.484,10,-5.835,1,"Lukas Graham",0.0612,0.29,0,0.331,119.884,237300,323,4,78,"7 Years",2,5.04342511691925,25,155,19.489069333484,12.3770804424239
"918",0.371,0.602,0.739,9,-5.655,1,"Travie McCoy",0.0601,0.0142,0,0.423,82.008,215143,86,4,192,"Golden (feat. Sia)",103,3.68887945411394,60,40,16.0974859220432,12.2790582022971
"919",0.141,0.553,0.662,8,-6.454,0,"WSTRN",0.129,0.342,0,0.578,98.368,242121,231,4,200,"In2",131,4.52178857704904,62,92,16.9952895660037,12.3971928801805
